4-HYDROXYPHENYLPYRUVATE_BIOSYNTHESIS	4-hydroxyphenylpyruvate biosynthesis	AT5G51690,AT5G53970,AT1G62960
UDP-D-GLUCURONATE_BIOSYNTHESIS_	UDP-D-glucuronate biosynthesis (from myo-inositol)	AT4G26260,AT3G01640,AT1G14520,AT5G52560,AT2G19800
UDP-D-GALACTURONATE_BIOSYNTHESIS_I_	UDP-D-galacturonate biosynthesis I (from UDP-D-glucuronate)	AT1G02000,AT4G12250,AT3G23820,AT4G30440,AT4G00110
CMP-KDO_BIOSYNTHESIS_II_	CMP-KDO biosynthesis II (from D-arabinose 5-phosphate)	AT1G53000,AT5G22800,AT1G79500,AT1G16340
UDP-D-APIOSE_BIOSYNTHESIS_	UDP-D-apiose biosynthesis (from UDP-D-glucuronate)	AT2G27860
GDP-L-GALACTOSE_BIOSYNTHESIS	GDP-L-galactose biosynthesis	AT5G28840
GDP-GLUCOSE_BIOSYNTHESIS	GDP-glucose biosynthesis	AT3G20040,AT1G50460,AT5G51820,AT1G47840,AT4G29130,AT1G70730,AT2G19860,AT4G37840,AT5G18070,AT1G23190
GDP-L-FUCOSE_BIOSYNTHESIS_II_	GDP-L-fucose biosynthesis II (from L-fucose)	AT1G01220
UDP-L-ARABINOSE_BIOSYNTHESIS_I_	UDP-L-arabinose biosynthesis I (from UDP-xylose)	AT4G20460,AT2G34850,AT1G30620
GDP-L-FUCOSE_BIOSYNTHESIS_I_	GDP-L-fucose biosynthesis I (from GDP-D-mannose)	AT1G17890,AT5G66280,AT3G51160,AT1G73250
UDP-L-ARABINOSE_BIOSYNTHESIS_II_	UDP-L-arabinose biosynthesis II (from L-arabinose)	AT3G42850,AT5G52560,AT4G16130
GDP-MANNOSE_BIOSYNTHESIS	GDP-mannose biosynthesis	AT5G17530,AT3G55590,AT2G39770,AT5G42740,AT2G45790,AT1G67070,AT3G02570,AT1G70820,AT4G24620,AT4G30570
DTDP-L-RHAMNOSE_BIOSYNTHESIS_II	dTDP-L-rhamnose biosynthesis II	AT1G63000
UDP-L-RHAMNOSE_BIOSYNTHESIS	UDP-L-rhamnose biosynthesis	AT3G14790,AT1G53500,AT1G63000,AT1G78570
UDP-GALACTOSE_BIOSYNTHESIS	UDP-galactose biosynthesis	AT4G23920,AT1G64440,AT4G10960,AT1G12780,AT1G63180
UDP-GLUCOSE_BIOSYNTHESIS_FROM_GLUCOSE_6-PHOSPHATE	UDP-glucose biosynthesis (from glucose 6-phosphate)	AT1G15690,AT1G78920,AT2G18230,AT5G51820,AT2G35020,AT1G16780,AT1G70730,AT5G09650,AT3G53620,AT5G52560,AT1G01050,AT3G03250,AT5G17310,AT4G01480,AT5G18070,AT2G46860,AT1G23190
UDP-GLUCOSE_BIOSYNTHESIS_FROM_SUCROSE	UDP-glucose biosynthesis (from sucrose)	AT4G02280,AT1G73370,AT5G37180,AT5G49190,AT5G20830,AT3G43190
TREHALOSE_BIOSYNTHESIS_I	trehalose biosynthesis I	AT4G22590,AT1G68020,AT4G39770,AT1G17000,AT1G60140,AT1G22210,AT1G78580,AT5G10100,AT1G78090,AT5G51460,AT1G23870,AT4G27550,AT2G25870,AT2G22190,AT5G65140,AT4G12430,AT4G17770,AT1G35910,AT2G18700,AT1G16980
DOLICHYL-DIPHOSPHOOLIGOSACCHARIDE_BIOSYNTHESIS	dolichyl-diphosphooligosaccharide biosynthesis	AT2G41490,AT1G20575,AT2G40190,AT1G16570,AT5G14850,AT5G22130
STACHYOSE_BIOSYNTHESIS	stachyose biosynthesis	AT3G57520,AT4G01970,AT5G23790,AT5G30500,AT1G09350,AT1G55740,AT1G60470,AT4G26250,AT1G56600,AT5G20250,AT5G08380,AT1G60450,AT5G40390,AT2G47180
AJUGOSE_BIOSYNTHESIS_I_	ajugose biosynthesis I (galactinol-dependent)	AT5G08380,AT5G40390
AJUGOSE_BIOSYNTHESIS_II_	ajugose biosynthesis II (galactinol-independent)	AT4G01970,AT5G08380
